source_rel,width,height,mode,png_bytes
images/CAGR/Graphics/grap_59.img.xbx,64,64,RGBA,2368
images/CAGR/Graphics/grap_6.img.xbx,64,64,RGBA,2111
images/CAGR/Graphics/grap_60.img.xbx,64,64,RGBA,1648
images/CAGR/Graphics/grap_61.img.xbx,64,64,RGBA,2829
images/CAGR/Graphics/grap_62.img.xbx,64,64,RGBA,2701
images/CAGR/Graphics/grap_63.img.xbx,64,64,RGBA,2034
images/CAGR/Graphics/grap_64.img.xbx,64,64,RGBA,1784
images/CAGR/Graphics/grap_65.img.xbx,64,64,RGBA,2729
images/CAGR/Graphics/grap_66.img.xbx,64,64,RGBA,3131
images/CAGR/Graphics/grap_67.img.xbx,64,64,RGBA,2837
images/CAGR/Graphics/grap_68.img.xbx,64,64,RGBA,1321
images/CAGR/Graphics/grap_69.img.xbx,64,64,RGBA,1536
images/CAGR/Graphics/grap_7.img.xbx,64,64,RGBA,3774
images/CAGR/Graphics/grap_70.img.xbx,64,64,RGBA,2044
images/CAGR/Graphics/grap_71.img.xbx,64,64,RGBA,1592
images/CAGR/Graphics/grap_72.img.xbx,64,64,RGBA,2363
images/CAGR/Graphics/grap_73.img.xbx,64,64,RGBA,2263
images/CAGR/Graphics/grap_74.img.xbx,64,64,RGBA,2516
images/CAGR/Graphics/grap_75.img.xbx,64,64,RGBA,2304
images/CAGR/Graphics/grap_76.img.xbx,64,64,RGBA,2427
images/CAGR/Graphics/grap_77.img.xbx,64,64,RGBA,2957
images/CAGR/Graphics/grap_78.img.xbx,64,64,RGBA,2539
images/CAGR/Graphics/grap_79.img.xbx,64,64,RGBA,3018
images/CAGR/Graphics/grap_8.img.xbx,64,64,RGBA,1621
images/CAGR/Graphics/grap_80.img.xbx,64,64,RGBA,1733
images/CAGR/Graphics/grap_81.img.xbx,64,64,RGBA,4311
images/CAGR/Graphics/grap_82.img.xbx,64,64,RGBA,2451
images/CAGR/Graphics/grap_83.img.xbx,64,64,RGBA,3516
images/CAGR/Graphics/grap_84.img.xbx,64,64,RGBA,3254
images/CAGR/Graphics/grap_85.img.xbx,64,64,RGBA,4314
images/CAGR/Graphics/grap_86.img.xbx,64,64,RGBA,1021
images/CAGR/Graphics/grap_87.img.xbx,64,64,RGBA,2806
images/CAGR/Graphics/grap_88.img.xbx,64,64,RGBA,1347
images/CAGR/Graphics/grap_89.img.xbx,64,64,RGBA,766
images/CAGR/Graphics/grap_9.img.xbx,64,64,RGBA,2513
images/CAGR/Graphics/grap_90.img.xbx,64,64,RGBA,3430
images/CAGR/Graphics/grap_91.img.xbx,64,64,RGBA,2999
images/CAGR/Graphics/grap_92.img.xbx,64,64,RGBA,1717
images/CAGR/Graphics/grap_93.img.xbx,64,64,RGBA,1684
images/CAGR/Graphics/grap_94.img.xbx,64,64,RGBA,1569
images/CAGR/Graphics/grap_95.img.xbx,64,64,RGBA,2246
images/CAGR/Graphics/grap_96.img.xbx,64,64,RGBA,2472
images/CAGR/Graphics/grap_97.img.xbx,64,64,RGBA,2355
images/CAGR/Graphics/grap_98.img.xbx,64,64,RGBA,2855
images/CAGR/Graphics/grap_99.img.xbx,64,64,RGBA,3579
images/CAGR/Illustrations/ill_1.img.xbx,64,64,RGBA,3293
images/CAGR/Illustrations/ill_10.img.xbx,64,64,RGBA,3298
images/CAGR/Illustrations/ill_11.img.xbx,64,64,RGBA,3762
images/CAGR/Illustrations/ill_12.img.xbx,64,64,RGBA,3280
images/CAGR/Illustrations/ill_13.img.xbx,64,64,RGBA,3547
images/CAGR/Illustrations/ill_14.img.xbx,64,64,RGBA,4425
images/CAGR/Illustrations/ill_15.img.xbx,64,64,RGBA,3330
images/CAGR/Illustrations/ill_16.img.xbx,64,64,RGBA,3907
images/CAGR/Illustrations/ill_17.img.xbx,64,64,RGBA,2474
images/CAGR/Illustrations/ill_18.img.xbx,64,64,RGBA,3582
images/CAGR/Illustrations/ill_19.img.xbx,64,64,RGBA,3214
images/CAGR/Illustrations/ill_2.img.xbx,64,64,RGBA,2456
images/CAGR/Illustrations/ill_20.img.xbx,64,64,RGBA,1745
images/CAGR/Illustrations/ill_21.img.xbx,64,64,RGBA,2404
images/CAGR/Illustrations/ill_22.img.xbx,64,64,RGBA,2107
images/CAGR/Illustrations/ill_23.img.xbx,64,64,RGBA,3251
images/CAGR/Illustrations/ill_24.img.xbx,64,64,RGBA,3137
images/CAGR/Illustrations/ill_25.img.xbx,64,64,RGBA,3871
images/CAGR/Illustrations/ill_26.img.xbx,64,64,RGBA,2653
images/CAGR/Illustrations/ill_27.img.xbx,64,64,RGBA,1899
images/CAGR/Illustrations/ill_28.img.xbx,64,64,RGBA,2823
images/CAGR/Illustrations/ill_29.img.xbx,64,64,RGBA,3298
images/CAGR/Illustrations/ill_3.img.xbx,64,64,RGBA,3540
images/CAGR/Illustrations/ill_30.img.xbx,64,64,RGBA,2061
images/CAGR/Illustrations/ill_31.img.xbx,64,64,RGBA,2286
images/CAGR/Illustrations/ill_32.img.xbx,64,64,RGBA,2394
images/CAGR/Illustrations/ill_33.img.xbx,64,64,RGBA,1728
images/CAGR/Illustrations/ill_34.img.xbx,64,64,RGBA,2713
images/CAGR/Illustrations/ill_35.img.xbx,64,64,RGBA,3355
images/CAGR/Illustrations/ill_36.img.xbx,64,64,RGBA,2552
images/CAGR/Illustrations/ill_37.img.xbx,64,64,RGBA,3237
images/CAGR/Illustrations/ill_38.img.xbx,64,64,RGBA,3108
images/CAGR/Illustrations/ill_39.img.xbx,64,64,RGBA,2588
images/CAGR/Illustrations/ill_4.img.xbx,64,64,RGBA,2059
images/CAGR/Illustrations/ill_40.img.xbx,64,64,RGBA,2648
images/CAGR/Illustrations/ill_41.img.xbx,64,64,RGBA,1803
images/CAGR/Illustrations/ill_42.img.xbx,64,64,RGBA,4362
images/CAGR/Illustrations/ill_43.img.xbx,64,64,RGBA,3894
images/CAGR/Illustrations/ill_44.img.xbx,64,64,RGBA,3759
images/CAGR/Illustrations/ill_45.img.xbx,64,64,RGBA,3049
images/CAGR/Illustrations/ill_46.img.xbx,64,64,RGBA,2639
images/CAGR/Illustrations/ill_47.img.xbx,64,64,RGBA,4858
images/CAGR/Illustrations/ill_48.img.xbx,64,64,RGBA,3110
images/CAGR/Illustrations/ill_49.img.xbx,64,64,RGBA,2186
images/CAGR/Illustrations/ill_5.img.xbx,64,64,RGBA,2694
images/CAGR/Illustrations/ill_50.img.xbx,64,64,RGBA,2540
images/CAGR/Illustrations/ill_6.img.xbx,64,64,RGBA,2287
images/CAGR/Illustrations/ill_7.img.xbx,64,64,RGBA,3120
images/CAGR/Illustrations/ill_8.img.xbx,64,64,RGBA,4250
images/CAGR/Illustrations/ill_9.img.xbx,64,64,RGBA,1910
images/CAGR/Letters/Block1/block1_0.img.xbx,64,64,RGBA,897
images/CAGR/Letters/Block1/block1_1.img.xbx,64,64,RGBA,1029
images/CAGR/Letters/Block1/block1_2.img.xbx,64,64,RGBA,735
images/CAGR/Letters/Block1/block1_3.img.xbx,64,64,RGBA,1018
images/CAGR/Letters/Block1/block1_4.img.xbx,64,64,RGBA,825
images/CAGR/Letters/Block1/block1_5.img.xbx,64,64,RGBA,1141
images/CAGR/Letters/Block1/block1_6.img.xbx,64,64,RGBA,663
images/CAGR/Letters/Block1/block1_7.img.xbx,64,64,RGBA,1147
images/CAGR/Letters/Block1/block1_8.img.xbx,64,64,RGBA,1140
images/CAGR/Letters/Block1/block1_9.img.xbx,64,64,RGBA,969
images/CAGR/Letters/Block1/block1_a.img.xbx,64,64,RGBA,1224
images/CAGR/Letters/Block1/block1_b.img.xbx,64,64,RGBA,1079
images/CAGR/Letters/Block1/block1_c.img.xbx,64,64,RGBA,1065
images/CAGR/Letters/Block1/block1_d.img.xbx,64,64,RGBA,848
images/CAGR/Letters/Block1/block1_e.img.xbx,64,64,RGBA,999
images/CAGR/Letters/Block1/block1_f.img.xbx,64,64,RGBA,1086
images/CAGR/Letters/Block1/block1_g.img.xbx,64,64,RGBA,1037
images/CAGR/Letters/Block1/block1_h.img.xbx,64,64,RGBA,969
images/CAGR/Letters/Block1/block1_i.img.xbx,64,64,RGBA,1111
images/CAGR/Letters/Block1/block1_j.img.xbx,64,64,RGBA,794
images/CAGR/Letters/Block1/block1_k.img.xbx,64,64,RGBA,1602
images/CAGR/Letters/Block1/block1_l.img.xbx,64,64,RGBA,984
images/CAGR/Letters/Block1/block1_m.img.xbx,64,64,RGBA,1006
images/CAGR/Letters/Block1/block1_n.img.xbx,64,64,RGBA,1461
images/CAGR/Letters/Block1/block1_o.img.xbx,64,64,RGBA,1042
images/CAGR/Letters/Block1/block1_p.img.xbx,64,64,RGBA,970
images/CAGR/Letters/Block1/block1_q.img.xbx,64,64,RGBA,1332
images/CAGR/Letters/Block1/block1_r.img.xbx,64,64,RGBA,1348
images/CAGR/Letters/Block1/block1_s.img.xbx,64,64,RGBA,986
images/CAGR/Letters/Block1/block1_t.img.xbx,64,64,RGBA,627
images/CAGR/Letters/Block1/block1_u.img.xbx,64,64,RGBA,924
images/CAGR/Letters/Block1/block1_v.img.xbx,64,64,RGBA,1176
images/CAGR/Letters/Block1/block1_w.img.xbx,64,64,RGBA,1483
images/CAGR/Letters/Block1/block1_x.img.xbx,64,64,RGBA,1293
images/CAGR/Letters/Block1/block1_y.img.xbx,64,64,RGBA,1283
images/CAGR/Letters/Block1/block1_z.img.xbx,64,64,RGBA,1082
images/CAGR/Letters/Bold1/bold1_0.img.xbx,64,64,RGBA,888
images/CAGR/Letters/Bold1/bold1_1.img.xbx,64,64,RGBA,657
images/CAGR/Letters/Bold1/bold1_2.img.xbx,64,64,RGBA,800
images/CAGR/Letters/Bold1/bold1_3.img.xbx,64,64,RGBA,793
images/CAGR/Letters/Bold1/bold1_4.img.xbx,64,64,RGBA,892
images/CAGR/Letters/Bold1/bold1_5.img.xbx,64,64,RGBA,761
images/CAGR/Letters/Bold1/bold1_6.img.xbx,64,64,RGBA,817
images/CAGR/Letters/Bold1/bold1_7.img.xbx,64,64,RGBA,685
images/CAGR/Letters/Bold1/bold1_8.img.xbx,64,64,RGBA,983
images/CAGR/Letters/Bold1/bold1_9.img.xbx,64,64,RGBA,818
images/CAGR/Letters/Bold1/bold1_a.img.xbx,64,64,RGBA,876
